id;fecha_venta;total;tipo_venta;estado_venta
1;2022-09-13;84409;revolutionary magnetic Grupo;copy multitarea
2;2022-09-13;62066;Increible;reboot
3;2022-09-13;64696;Fácil backing Real;evolve Joyería
4;2022-09-13;87187;Optimización viral;Guapa Cambridgeshire
5;2022-09-13;75236;Zloty Genérico Account;firewall discreta visualize
6;2022-09-13;29923;Investment withdrawal navigate;Futuro Account
7;2022-09-13;20260;Mobilidad;syndicate Murcia Papelería
8;2022-09-13;64772;strategize program;Electrónica Implementación
9;2022-09-13;70354;Distrito;3rd
10;2022-09-12;54491;invoice Gris;Cantabria
